DT,TEMa,WND_a,WND_deg,DEP_s,TEMw_s,SALw_s,DO_s,Chla_s,DEP_m,TEMw_m,SALw_m,DO_m,Chla_m,DEP_b,TEMw_b,SALw_b,DO_b,Chla_b,CRT_s,CRT_s_deg,CRT_m,CRT_m_deg,CRT_b,CRT_b_deg
2014-01-01 00:00:00,9.07,4.7,246.3,0.83,10.72,31.34,9.61,10.0,10.06,10.83,31.25,9.48,13.7,18.76,11.82,31.75,7.78,8.8,13.31,75.46,13.57,88.38,2.75,104.79
2014-01-01 01:00:00,8.78,4.9,259.9,1.18,10.65,31.31,9.59,7.5,10.41,10.76,31.25,9.4,10.8,19.11,11.8,31.74,7.84,7.6,18.8,88.6,17.92,73.13,3.5,35.36
2014-01-01 02:00:00,7.92,4.9,305.6,1.59,10.72,31.34,9.45,10.8,10.83,10.87,31.29,9.19,19.5,19.52,11.78,31.73,7.93,5.6,21.51,96.1,7.34,74.58,4.08,35.46
2014-01-01 03:00:00,7.89,5.2,271.9,1.98,10.7,31.35,9.39,8.5,11.22,10.8,31.32,9.24,15.6,19.92,11.99,31.8,7.57,9.3,14.48,100.35,8.14,51.89,5.23,47.85
2014-01-01 04:00:00,8.91,4.4,241.4,2.29,10.72,31.38,9.38,10.4,11.53,10.83,31.33,9.18,12.5,20.22,12.16,31.88,7.26,3.7,7.07,127.77,4.87,75.12,3.58,58.39
2014-01-01 05:00:00,9.84,6.8,221.2,2.44,10.75,31.4,9.25,13.4,11.69,10.81,31.32,9.17,11.9,20.38,12.27,31.96,7.02,4.5,5.01,122.91,5.81,136.51,2.08,39.52
2014-01-01 06:00:00,8.88,5.5,183.0,2.43,10.73,31.41,9.19,10.2,11.66,10.75,31.31,9.12,9.8,20.36,12.32,31.99,6.96,6.1,7.17,154.06,12.35,205.57,3.14,13.36
2014-01-01 07:00:00,11.2,9.7,216.6,2.27,10.72,31.4,9.35,10.8,11.51,10.74,31.3,9.19,11.9,20.21,12.25,31.93,7.1,4.1,10.0,200.56,8.23,208.69,4.75,53.57
2014-01-01 08:00:00,11.31,10.6,219.6,1.99,10.73,31.41,9.39,9.6,11.26,10.86,31.31,9.16,11.9,19.96,12.14,31.87,7.32,8.1,5.82,149.99,4.74,191.78,5.94,49.5
2014-01-01 09:00:00,11.54,12.2,218.0,1.74,10.7,31.4,9.45,10.9,11.01,10.71,31.3,9.22,12.7,19.72,12.1,31.86,7.38,4.6,4.56,158.6,1.93,253.35,2.55,353.29
2014-01-01 10:00:00,12.13,12.1,210.4,1.52,10.61,31.38,9.59,9.7,10.81,10.65,31.28,9.3,12.8,19.51,12.06,31.84,7.42,5.8,5.11,144.46,3.77,206.5,2.41,279.46
2014-01-01 11:00:00,12.58,13.5,204.1,1.69,10.61,31.36,9.68,10.8,10.78,10.61,31.25,9.44,12.6,19.48,11.97,31.81,7.49,7.0,10.02,98.53,4.43,76.67,1.66,217.84
2014-01-01 12:00:00,12.44,14.6,207.3,1.61,10.75,31.42,9.64,10.9,10.95,10.76,31.31,9.38,10.9,19.64,12.05,31.83,7.48,3.1,15.44,101.69,0.0,7.6,2.9,275.63
2014-01-01 13:00:00,12.6,14.7,204.8,1.81,10.88,31.48,9.45,12.5,11.28,10.99,31.41,9.09,12.1,19.93,11.79,31.71,7.78,7.2,29.17,106.67,14.53,21.97,3.35,339.83
2014-01-01 14:00:00,13.16,12.4,207.1,2.35,10.92,31.5,9.46,10.3,11.52,10.94,31.35,9.2,11.9,20.22,11.99,31.8,7.62,6.5,22.0,96.78,8.04,62.42,2.13,326.11
2014-01-01 15:00:00,13.4,12.2,213.2,2.67,10.97,31.52,9.39,9.9,11.68,11.07,31.43,9.0,10.5,20.43,12.08,31.85,7.57,5.3,6.88,59.86,13.96,29.95,3.97,309.09
2014-01-01 16:00:00,13.37,10.9,218.1,2.24,11.0,31.54,9.29,9.7,11.82,11.03,31.41,9.08,11.3,20.45,12.13,31.85,7.55,6.7,6.2,95.62,4.49,73.85,2.75,307.81
2014-01-01 17:00:00,13.14,11.6,228.5,2.44,11.03,31.54,9.24,10.1,11.67,11.04,31.43,9.08,12.6,20.38,12.0,31.76,7.67,6.6,7.84,173.08,5.12,55.44,7.18,255.41
2014-01-01 18:00:00,13.03,9.7,253.8,2.09,11.01,31.54,9.27,9.9,11.42,11.04,31.43,9.07,10.0,20.12,12.06,31.73,7.61,6.7,9.53,197.8,4.83,232.64,5.14,325.51
2014-01-01 19:00:00,12.58,6.0,265.9,1.83,11.03,31.5,9.23,7.9,11.05,11.04,31.39,9.05,9.2,19.72,12.11,31.87,7.45,8.2,7.92,306.9,6.01,265.71,7.3,353.47
2014-01-01 20:00:00,13.03,3.5,7.0,1.29,11.06,31.49,9.21,6.0,10.54,11.1,31.39,9.01,7.9,19.25,11.99,31.79,7.58,6.9,6.4,241.33,10.81,258.45,7.42,320.27
2014-01-01 21:00:00,12.52,1.7,335.7,0.86,11.26,31.55,9.09,6.2,10.08,11.23,31.42,8.92,10.3,18.78,11.93,31.72,7.74,7.7,24.26,121.74,7.49,200.01,11.83,233.02
2014-01-01 22:00:00,11.67,10.7,249.3,0.51,11.45,31.58,8.98,9.1,9.76,11.46,31.46,8.8,11.3,18.45,11.98,31.74,7.51,7.6,6.77,150.43,8.02,223.53,3.68,11.78
2014-01-01 23:00:00,11.44,12.0,233.7,0.58,11.56,31.63,8.87,10.2,9.66,11.57,31.5,8.68,11.9,18.36,12.08,31.8,7.41,6.3,8.99,119.75,14.64,122.66,0.0,8.9
2014-01-02 00:00:00,11.2,10.7,231.7,0.66,11.52,31.63,8.88,8.2,9.83,11.53,31.51,8.67,10.3,18.51,12.12,31.83,7.27,5.1,13.01,72.83,10.76,104.67,3.04,55.13
2014-01-02 01:00:00,10.86,6.3,316.1,0.93,11.51,31.64,8.85,9.1,10.12,11.52,31.51,8.66,11.3,18.82,12.11,31.81,7.25,5.0,7.93,84.44,9.96,80.77,4.69,41.99
