STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2008/07/01 00:00:00,1,-10.60,5.7,0.3,1,104,102,102,12.77,9.9,00016
0001,2008/07/01 00:00:00,2,-9.60,3,10.5,-0.4,86,84,83,12.77,9.9,00016
0001,2008/07/01 00:00:00,3,-8.60,2.1,8.1,-1.3,76,75,74,12.77,9.9,00016
0001,2008/07/01 00:00:00,4,-7.60,6.3,6.4,1.7,64,65,63,12.77,9.9,00016
0001,2008/07/01 00:00:00,5,-6.60,2.8,7.7,-0.4,63,62,60,12.77,9.9,00016
0001,2008/07/01 00:00:00,6,-5.60,4.1,7,0,66,65,61,12.77,9.9,00016
0001,2008/07/01 00:00:00,7,-4.60,-2.7,-4.3,0.5,73,65,62,12.77,9.9,00016
0001,2008/07/01 00:00:00,8,-3.60,-3.8,-10.3,-0.2,59,66,64,12.77,9.9,00016
0001,2008/07/01 00:00:00,9,-2.60,0.5,-6.8,-1,59,78,71,12.77,9.9,00016
0001,2008/07/01 00:00:00,10,-1.60,16.6,-3.9,-5.1,64,73,101,12.77,9.9,00016
0001,2008/07/01 01:00:00,1,-10.60,10.6,2.4,0.4,104,101,103,12.85,9.9,00016
0001,2008/07/01 01:00:00,2,-9.60,4.5,12,-1.1,91,87,88,12.85,9.9,00016
0001,2008/07/01 01:00:00,3,-8.60,4,7.1,0.3,73,72,71,12.85,9.9,00016
0001,2008/07/01 01:00:00,4,-7.60,8.5,8,-0.3,67,66,65,12.85,9.9,00016
0001,2008/07/01 01:00:00,5,-6.60,3.3,5.6,-0.8,65,72,62,12.85,9.9,00016
0001,2008/07/01 01:00:00,6,-5.60,-5.1,2.7,0.3,70,76,69,12.85,9.9,00016
0001,2008/07/01 01:00:00,7,-4.60,-14.2,-0.9,0.4,68,71,63,12.85,9.9,00016
0001,2008/07/01 01:00:00,8,-3.60,-2.3,-3.8,0,72,72,74,12.85,9.9,00016
0001,2008/07/01 01:00:00,9,-2.60,1.8,0,-2,70,73,68,12.85,9.9,00016
0001,2008/07/01 01:00:00,10,-1.60,5.8,-8.2,-1.2,60,74,101,12.85,9.9,00016
0001,2008/07/01 02:00:00,1,-10.60,-4.2,2.5,-0.2,103,100,102,12.88,9.9,00016
0001,2008/07/01 02:00:00,2,-9.60,2.8,11.8,-1.3,80,73,80,12.88,9.9,00016
0001,2008/07/01 02:00:00,3,-8.60,1,6.7,0,78,74,73,12.88,9.9,00016
0001,2008/07/01 02:00:00,4,-7.60,-0.8,5.5,0.4,68,65,62,12.88,9.9,00016
0001,2008/07/01 02:00:00,5,-6.60,2.6,5.3,1.1,65,65,58,12.88,9.9,00016
0001,2008/07/01 02:00:00,6,-5.60,-3.2,3.5,1.2,65,72,61,12.88,9.9,00016
0001,2008/07/01 02:00:00,7,-4.60,0.3,-0.8,0,72,66,68,12.88,9.9,00016
