STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2010/01/01 00:00:00,1,-10.60,6.2,-3.6,0,134,130,139,10.84,10.0,00032
0001,2010/01/01 00:00:00,2,-9.60,1.1,-2,0.6,119,115,123,10.84,10.0,00032
0001,2010/01/01 00:00:00,3,-8.60,1.7,-5.3,1.1,110,107,110,10.84,10.0,00032
0001,2010/01/01 00:00:00,4,-7.60,3.6,1.4,0.6,103,100,103,10.84,10.0,00032
0001,2010/01/01 00:00:00,5,-6.60,4,-1.7,-0.1,98,93,99,10.84,10.0,00032
0001,2010/01/01 00:00:00,6,-5.60,4.4,1.5,0.3,93,90,95,10.84,10.0,00032
0001,2010/01/01 00:00:00,7,-4.60,2.8,-1.3,-0.1,85,102,90,10.84,10.0,00032
0001,2010/01/01 00:00:00,8,-3.60,2.5,-2,0.7,83,113,99,10.84,10.0,00032
0001,2010/01/01 00:00:00,9,-2.60,1,-2.8,0.8,89,111,129,10.84,10.0,00032
0001,2010/01/01 00:00:00,10,-1.60,7,-22.1,1.7,155,146,155,10.84,10.0,00032
0001,2010/01/01 01:00:00,1,-10.60,0.5,1.3,1,132,127,129,11.12,10.0,00032
0001,2010/01/01 01:00:00,2,-9.60,3.2,-2.6,1.1,115,115,115,11.12,10.0,00032
0001,2010/01/01 01:00:00,3,-8.60,0.6,0.5,0.9,106,105,107,11.12,10.0,00032
0001,2010/01/01 01:00:00,4,-7.60,1.5,2,1.5,100,99,99,11.12,10.0,00032
0001,2010/01/01 01:00:00,5,-6.60,1.1,2.7,1.6,94,94,94,11.12,10.0,00032
0001,2010/01/01 01:00:00,6,-5.60,2.6,0.3,2.4,87,86,87,11.12,10.0,00032
0001,2010/01/01 01:00:00,7,-4.60,4.2,-0.3,1.6,83,83,81,11.12,10.0,00032
0001,2010/01/01 01:00:00,8,-3.60,1.8,-0.2,1.9,84,84,77,11.12,10.0,00032
0001,2010/01/01 01:00:00,9,-2.60,0.4,-3.5,1.5,88,109,77,11.12,10.0,00032
0001,2010/01/01 01:00:00,10,-1.60,-2.3,-4.5,1.4,128,129,111,11.12,10.0,00032
0001,2010/01/01 02:00:00,1,-10.60,4.2,-1.5,0,137,130,135,11.52,10.0,00032
0001,2010/01/01 02:00:00,2,-9.60,1.3,2.1,0.6,117,117,121,11.52,10.0,00032
0001,2010/01/01 02:00:00,3,-8.60,3.7,-1,0.7,107,106,110,11.52,10.0,00032
0001,2010/01/01 02:00:00,4,-7.60,3.2,-3.6,1.7,101,97,101,11.52,10.0,00032
0001,2010/01/01 02:00:00,5,-6.60,1,-2.3,1.5,97,91,95,11.52,10.0,00032
0001,2010/01/01 02:00:00,6,-5.60,2.7,-0.1,2.1,94,88,91,11.52,10.0,00032
0001,2010/01/01 02:00:00,7,-4.60,2,-4.8,0.8,87,81,85,11.52,10.0,00032
0001,2010/01/01 02:00:00,8,-3.60,3.6,-0.3,0.5,82,77,80,11.52,10.0,00032
0001,2010/01/01 02:00:00,9,-2.60,0.5,-3.5,0.6,91,74,73,11.52,10.0,00032
0001,2010/01/01 02:00:00,10,-1.60,-2.3,-5.5,0.7,118,79,85,11.52,10.0,00032
0001,2010/01/01 03:00:00,1,-10.60,1,-2.3,0.8,130,127,131,12.02,10.0,00032
0001,2010/01/01 03:00:00,2,-9.60,0.7,1.4,1.5,116,114,116,12.02,10.0,00032
0001,2010/01/01 03:00:00,3,-8.60,3.6,-0.2,0.2,109,104,107,12.02,10.0,00032
0001,2010/01/01 03:00:00,4,-7.60,1.3,3.4,0.8,102,95,101,12.02,10.0,00032
0001,2010/01/01 03:00:00,5,-6.60,3.2,1.7,0.8,99,90,95,12.02,10.0,00032
0001,2010/01/01 03:00:00,6,-5.60,2.1,0.8,0.6,96,85,88,12.02,10.0,00032
0001,2010/01/01 03:00:00,7,-4.60,0.3,2,1,95,79,83,12.02,10.0,00032
0001,2010/01/01 03:00:00,8,-3.60,4.2,1.1,1.9,88,73,77,12.02,10.0,00032
0001,2010/01/01 03:00:00,9,-2.60,2.5,2.4,1.6,79,69,72,12.02,10.0,00032
0001,2010/01/01 03:00:00,10,-1.60,4.8,-2.9,2.5,79,68,76,12.02,10.0,00032
0001,2010/01/01 04:00:00,1,-10.60,-2.8,2.2,-0.3,130,134,132,12.49,10.0,00032
0001,2010/01/01 04:00:00,2,-9.60,-3.4,-0.3,0.2,115,120,118,12.49,10.0,00032
0001,2010/01/01 04:00:00,3,-8.60,-2.4,0.6,1.1,107,109,109,12.49,10.0,00032
0001,2010/01/01 04:00:00,4,-7.60,0,0,1,100,101,100,12.49,10.0,00032
0001,2010/01/01 04:00:00,5,-6.60,-0.3,3.2,0.4,95,92,93,12.49,10.0,00032
0001,2010/01/01 04:00:00,6,-5.60,3.3,1.9,0.9,89,83,91,12.49,10.0,00032
0001,2010/01/01 04:00:00,7,-4.60,-2.7,-0.6,0.9,81,77,89,12.49,10.0,00032
0001,2010/01/01 04:00:00,8,-3.60,-0.6,-2.1,1.6,76,70,81,12.49,10.0,00032
0001,2010/01/01 04:00:00,9,-2.60,-0.8,1,1.8,72,66,72,12.49,10.0,00032
0001,2010/01/01 04:00:00,10,-1.60,0.7,-1.9,0.9,67,63,70,12.49,10.0,00032
0001,2010/01/01 05:00:00,1,-10.60,3.7,2.1,0.1,135,131,133,12.55,10.0,00032
0001,2010/01/01 05:00:00,2,-9.60,2.2,-5,0.6,119,117,118,12.55,10.0,00032
0001,2010/01/01 05:00:00,3,-8.60,6.9,-2.5,0.7,109,108,110,12.55,10.0,00032
0001,2010/01/01 05:00:00,4,-7.60,3.6,-0.9,0.2,101,100,102,12.55,10.0,00032
0001,2010/01/01 05:00:00,5,-6.60,2.4,-4.9,0.7,97,92,94,12.55,10.0,00032
0001,2010/01/01 05:00:00,6,-5.60,4.3,-2.7,0.3,93,87,91,12.55,10.0,00032
0001,2010/01/01 05:00:00,7,-4.60,-0.1,0.3,0.9,80,82,80,12.55,10.0,00032
0001,2010/01/01 05:00:00,8,-3.60,-2.4,-1.8,1.6,70,79,73,12.55,10.0,00032
0001,2010/01/01 05:00:00,9,-2.60,-0.5,-2.6,0.8,66,75,66,12.55,10.0,00032
0001,2010/01/01 05:00:00,10,-1.60,-8.8,-4.4,-0.5,62,67,65,12.55,10.0,00032
0001,2010/01/01 06:00:00,1,-10.60,2.8,0.3,0.5,126,122,125,12.67,10.0,00032
0001,2010/01/01 06:00:00,2,-9.60,3.4,-2.4,1.3,112,108,113,12.67,10.0,00032
0001,2010/01/01 06:00:00,3,-8.60,1.6,-0.7,1.4,104,100,105,12.67,10.0,00032
0001,2010/01/01 06:00:00,4,-7.60,3.2,-2.6,2.4,97,93,97,12.67,10.0,00032
0001,2010/01/01 06:00:00,5,-6.60,-1.5,-3,0,92,88,91,12.67,10.0,00032
0001,2010/01/01 06:00:00,6,-5.60,-0.4,-5.8,0.3,93,84,87,12.67,10.0,00032
0001,2010/01/01 06:00:00,7,-4.60,-0.2,-4.2,-1,84,79,79,12.67,10.0,00032
0001,2010/01/01 06:00:00,8,-3.60,-0.8,-2.7,0,72,74,73,12.67,10.0,00032
0001,2010/01/01 06:00:00,9,-2.60,-4.7,-3.8,0.3,65,76,65,12.67,10.0,00032
0001,2010/01/01 06:00:00,10,-1.60,-2.4,-8.1,0,62,72,62,12.67,10.0,00032
0001,2010/01/01 07:00:00,1,-10.60,0.2,-2.6,0.6,133,129,133,12.62,10.0,00032
0001,2010/01/01 07:00:00,2,-9.60,-4,-6,1.8,114,111,113,12.62,10.0,00032
0001,2010/01/01 07:00:00,3,-8.60,0.7,-3.7,1.9,105,100,104,12.62,10.0,00032
0001,2010/01/01 07:00:00,4,-7.60,2.3,-6.6,1.1,94,92,98,12.62,10.0,00032
0001,2010/01/01 07:00:00,5,-6.60,3.7,-3.9,0.4,84,81,94,12.62,10.0,00032
0001,2010/01/01 07:00:00,6,-5.60,1.6,-8,0.9,78,75,88,12.62,10.0,00032
0001,2010/01/01 07:00:00,7,-4.60,-0.4,-6.3,0.4,72,79,82,12.62,10.0,00032
0001,2010/01/01 07:00:00,8,-3.60,-2.6,-7.3,1,66,83,74,12.62,10.0,00032
0001,2010/01/01 07:00:00,9,-2.60,-4.1,-4.8,1.3,60,76,63,12.62,10.0,00032
0001,2010/01/01 07:00:00,10,-1.60,-5.4,-5.1,1.1,86,84,70,12.62,10.0,00032
0001,2010/01/01 08:00:00,1,-10.60,-5.8,-1.1,0,128,123,127,12.36,10.0,00032
0001,2010/01/01 08:00:00,2,-9.60,-3.1,-0.4,1.8,114,111,114,12.36,10.0,00032
0001,2010/01/01 08:00:00,3,-8.60,-0.3,-3.3,2,105,101,105,12.36,10.0,00032
0001,2010/01/01 08:00:00,4,-7.60,-3.7,-3.8,2.1,97,90,96,12.36,10.0,00032
0001,2010/01/01 08:00:00,5,-6.60,-4.6,-6.1,1.1,88,89,86,12.36,10.0,00032
0001,2010/01/01 08:00:00,6,-5.60,-7.9,-1.8,1.5,79,94,78,12.36,10.0,00032
0001,2010/01/01 08:00:00,7,-4.60,-1.2,0.1,0.8,72,93,73,12.36,10.0,00032
0001,2010/01/01 08:00:00,8,-3.60,1.5,-3.3,0.2,65,84,104,12.36,10.0,00032
0001,2010/01/01 08:00:00,9,-2.60,0.3,-1.1,0.4,62,84,131,12.36,10.0,00032
0001,2010/01/01 08:00:00,10,-1.60,4.3,-3.9,0,64,106,134,12.36,10.0,00032
0001,2010/01/01 09:00:00,1,-10.60,-5.4,-5,0.5,128,127,128,12.09,10.0,00032
0001,2010/01/01 09:00:00,2,-9.60,-4.8,-3.5,1.9,111,112,112,12.09,10.0,00032
0001,2010/01/01 09:00:00,3,-8.60,-2.5,-7.1,2.7,102,104,101,12.09,10.0,00032
0001,2010/01/01 09:00:00,4,-7.60,-5.8,-8.3,1.6,94,97,93,12.09,10.0,00032
0001,2010/01/01 09:00:00,5,-6.60,-8.4,-5.6,2,85,87,86,12.09,10.0,00032
0001,2010/01/01 09:00:00,6,-5.60,-5.1,-10.3,1.7,80,77,80,12.09,10.0,00032
0001,2010/01/01 09:00:00,7,-4.60,-1.1,-9.2,0.3,84,73,77,12.09,10.0,00032
0001,2010/01/01 09:00:00,8,-3.60,1.1,-9.8,0.5,92,77,75,12.09,10.0,00032
0001,2010/01/01 09:00:00,9,-2.60,4.9,-4.5,-0.3,90,75,107,12.09,10.0,00032
0001,2010/01/01 09:00:00,10,-1.60,2,-1.4,1.7,92,95,135,12.09,10.0,00032
0001,2010/01/01 10:00:00,1,-10.60,-4.4,0.7,0.7,128,125,128,12.02,10.0,00032
0001,2010/01/01 10:00:00,2,-9.60,-3.8,-0.1,-0.3,118,112,114,12.02,10.0,00032
0001,2010/01/01 10:00:00,3,-8.60,-3.5,-1,0.1,110,102,105,12.02,10.0,00032
0001,2010/01/01 10:00:00,4,-7.60,-3.1,-6.8,0.2,105,97,93,12.02,10.0,00032
0001,2010/01/01 10:00:00,5,-6.60,1.1,-5.4,0.7,97,92,85,12.02,10.0,00032
0001,2010/01/01 10:00:00,6,-5.60,3.3,-3.1,1.9,94,87,84,12.02,10.0,00032
0001,2010/01/01 10:00:00,7,-4.60,6.6,0.7,2,89,94,84,12.02,10.0,00032
0001,2010/01/01 10:00:00,8,-3.60,6,3.4,3,88,116,85,12.02,10.0,00032
0001,2010/01/01 10:00:00,9,-2.60,5,-5.5,2.5,99,126,83,12.02,10.0,00032
0001,2010/01/01 10:00:00,10,-1.60,4.4,-8.7,1.7,123,129,89,12.02,10.0,00032
0001,2010/01/01 11:00:00,1,-10.60,-3.4,1.5,-0.1,127,123,127,11.85,10.0,00032
0001,2010/01/01 11:00:00,2,-9.60,-3.7,3.3,1.4,113,111,111,11.85,10.0,00032
0001,2010/01/01 11:00:00,3,-8.60,-4.3,1.4,1.2,102,102,100,11.85,10.0,00032
0001,2010/01/01 11:00:00,4,-7.60,2.5,-3.1,1.3,92,92,93,11.85,10.0,00032
0001,2010/01/01 11:00:00,5,-6.60,3.9,-3.4,1.3,82,81,86,11.85,10.0,00032
0001,2010/01/01 11:00:00,6,-5.60,1.7,-6.2,2.1,77,76,83,11.85,10.0,00032
0001,2010/01/01 11:00:00,7,-4.60,5,-6.3,0.5,73,78,75,11.85,10.0,00032
0001,2010/01/01 11:00:00,8,-3.60,2.3,-8.9,-0.5,80,85,70,11.85,10.0,00032
0001,2010/01/01 11:00:00,9,-2.60,1.8,-4.5,0.2,92,96,74,11.85,10.0,00032
0001,2010/01/01 11:00:00,10,-1.60,3.4,-3.9,0.9,105,108,86,11.85,10.0,00032
0001,2010/01/01 12:00:00,1,-10.60,-1.3,1,0.7,129,124,126,11.89,10.0,00032
0001,2010/01/01 12:00:00,2,-9.60,-1.9,1.6,1.7,114,110,111,11.89,10.0,00032
0001,2010/01/01 12:00:00,3,-8.60,-1.1,1.9,2,101,99,100,11.89,10.0,00032
0001,2010/01/01 12:00:00,4,-7.60,3.9,-1,1.9,93,91,90,11.89,10.0,00032
0001,2010/01/01 12:00:00,5,-6.60,2.6,-0.7,1,85,83,83,11.89,10.0,00032
0001,2010/01/01 12:00:00,6,-5.60,1.9,-4.4,0.8,77,72,82,11.89,10.0,00032
0001,2010/01/01 12:00:00,7,-4.60,2.9,-7,1.6,76,67,86,11.89,10.0,00032
0001,2010/01/01 12:00:00,8,-3.60,4.3,-9.5,0.5,81,63,86,11.89,10.0,00032
0001,2010/01/01 12:00:00,9,-2.60,5.7,-5.9,1.9,81,64,86,11.89,10.0,00032
0001,2010/01/01 12:00:00,10,-1.60,3.8,-4.7,2.4,83,79,97,11.89,10.0,00032
0001,2010/01/01 13:00:00,1,-10.60,4,-1.7,0,132,130,132,12.07,10.0,00032
0001,2010/01/01 13:00:00,2,-9.60,1.7,-1.3,-0.7,120,115,117,12.07,10.0,00032
0001,2010/01/01 13:00:00,3,-8.60,1.5,2.2,-0.3,110,104,111,12.07,10.0,00032
0001,2010/01/01 13:00:00,4,-7.60,-0.6,-0.3,-0.7,105,96,102,12.07,10.0,00032
0001,2010/01/01 13:00:00,5,-6.60,-1.1,-0.2,0.5,97,88,93,12.07,10.0,00032
0001,2010/01/01 13:00:00,6,-5.60,0.7,0.5,-0.3,89,78,85,12.07,10.0,00032
0001,2010/01/01 13:00:00,7,-4.60,1,-2.1,-0.1,83,73,82,12.07,10.0,00032
0001,2010/01/01 13:00:00,8,-3.60,-1,-2.5,-0.3,81,71,101,12.07,10.0,00032
0001,2010/01/01 13:00:00,9,-2.60,0.8,-5.5,1.1,92,69,126,12.07,10.0,00032
0001,2010/01/01 13:00:00,10,-1.60,4.4,-6,0.8,103,78,139,12.07,10.0,00032
0001,2010/01/01 14:00:00,1,-10.60,2.5,6.9,-1.4,124,119,123,12.43,10.0,00032
0001,2010/01/01 14:00:00,2,-9.60,3.2,6.5,0.8,110,108,110,12.43,10.0,00032
0001,2010/01/01 14:00:00,3,-8.60,4.4,1.3,0.8,102,97,103,12.43,10.0,00032
