STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2008/01/01 00:00:00,0,1.03,12.12,1.6,32.34,2.40,94.0,8.24,11.50,9.6,0000000
0001,2008/01/01 00:00:00,1,0.53,12.12,1.6,32.34,2.23,93.8,8.22,11.50,9.6,0000000
0001,2008/01/01 00:00:00,2,-0.47,12.12,1.6,32.34,2.31,93.7,8.22,11.50,9.6,0000000
0001,2008/01/01 00:00:00,3,-1.47,12.12,1.6,32.34,2.30,93.9,8.23,11.50,9.6,0000000
0001,2008/01/01 00:00:00,4,-2.47,12.12,1.7,32.34,2.26,94.0,8.24,11.50,9.6,0000000
0001,2008/01/01 00:00:00,5,-3.47,12.13,1.7,32.34,2.28,94.1,8.25,11.50,9.6,0000000
0001,2008/01/01 00:00:00,6,-4.47,12.13,1.8,32.34,2.26,94.2,8.26,11.50,9.6,0000000
0001,2008/01/01 00:00:00,7,-5.47,12.13,1.8,32.34,2.32,94.6,8.29,11.50,9.6,0000000
0001,2008/01/01 00:00:00,8,-6.47,12.13,1.7,32.35,2.29,94.7,8.30,11.50,9.6,0000000
0001,2008/01/01 00:00:00,9,-7.47,12.13,1.7,32.35,2.34,94.7,8.30,11.50,9.6,0000000
0001,2008/01/01 00:00:00,10,-8.47,12.13,1.7,32.36,2.28,94.8,8.31,11.50,9.6,0000000
0001,2008/01/01 00:00:00,11,-9.47,12.12,1.8,32.36,2.33,94.6,8.30,11.50,9.6,0000000
0001,2008/01/01 00:00:00,12,-9.97,12.11,1.7,32.36,2.82,94.2,8.26,11.50,9.6,0000000
0001,2008/01/01 01:00:00,0,0.93,12.09,31.9,31.48,43.02,93.6,8.25,11.40,9.6,0000000
0001,2008/01/01 01:00:00,1,0.43,12.08,1.6,32.37,3.06,93.5,8.20,11.40,9.6,0000000
0001,2008/01/01 01:00:00,2,-0.57,12.10,1.6,32.36,2.53,93.5,8.20,11.40,9.6,0000000
0001,2008/01/01 01:00:00,3,-1.57,12.11,1.6,32.36,2.45,93.5,8.20,11.40,9.6,0000000
0001,2008/01/01 01:00:00,4,-2.57,12.11,1.7,32.37,2.46,93.6,8.21,11.40,9.6,0000000
0001,2008/01/01 01:00:00,5,-3.57,12.10,1.6,32.37,2.52,93.8,8.23,11.40,9.6,0000000
0001,2008/01/01 01:00:00,6,-4.57,12.10,1.6,32.37,2.51,94.1,8.25,11.40,9.6,0000000
0001,2008/01/01 01:00:00,7,-5.57,12.11,1.6,32.36,2.40,94.4,8.28,11.40,9.6,0000000
0001,2008/01/01 01:00:00,8,-6.57,12.10,1.7,32.37,2.42,94.4,8.28,11.40,9.6,0000000
0001,2008/01/01 01:00:00,9,-7.57,12.10,1.8,32.37,2.46,94.5,8.29,11.40,9.6,0000000
0001,2008/01/01 01:00:00,10,-8.57,12.11,1.8,32.37,2.29,94.5,8.29,11.40,9.6,0000000
0001,2008/01/01 01:00:00,11,-9.57,12.11,1.8,32.37,2.67,94.7,8.30,11.40,9.6,0000000
0001,2008/01/01 01:00:00,12,-9.97,12.11,2.2,32.37,5.33,94.0,8.24,11.40,9.6,0000000
0001,2008/01/01 02:00:00,0,0.73,12.04,4.3,32.33,12.51,93.5,8.21,11.20,9.6,0000000
0001,2008/01/01 02:00:00,1,0.23,12.04,1.4,32.33,2.60,93.3,8.19,11.20,9.6,0000000
0001,2008/01/01 02:00:00,2,-0.77,12.04,1.4,32.33,2.63,93.2,8.18,11.20,9.6,0000000
0001,2008/01/01 02:00:00,3,-1.77,12.04,1.5,32.33,2.60,93.3,8.19,11.20,9.6,0000000
0001,2008/01/01 02:00:00,4,-2.77,12.04,1.5,32.33,2.55,93.5,8.21,11.20,9.6,0000000
0001,2008/01/01 02:00:00,5,-3.77,12.04,1.5,32.34,2.64,93.7,8.23,11.20,9.6,0000000
0001,2008/01/01 02:00:00,6,-4.77,12.04,1.6,32.34,2.66,93.8,8.24,11.20,9.6,0000000
0001,2008/01/01 02:00:00,7,-5.77,12.04,1.5,32.34,2.56,94.0,8.26,11.20,9.6,0000000
0001,2008/01/01 02:00:00,8,-6.77,12.05,1.6,32.34,2.65,94.1,8.26,11.20,9.6,0000000
0001,2008/01/01 02:00:00,9,-7.77,12.05,1.6,32.35,2.59,94.3,8.28,11.20,9.6,0000000
0001,2008/01/01 02:00:00,10,-8.77,12.05,1.6,32.35,2.63,94.3,8.28,11.20,9.6,0000000
0001,2008/01/01 02:00:00,11,-9.77,12.05,1.8,32.35,3.08,94.2,8.27,11.20,9.6,0000000
0001,2008/01/01 02:00:00,12,-9.97,12.05,1.8,32.35,3.26,94.1,8.26,11.20,9.6,0000000
0001,2008/01/01 03:00:00,0,0.63,12.02,56.4,26.00,102.73,93.7,8.57,11.10,9.6,0000000
0001,2008/01/01 03:00:00,1,0.13,12.06,1.4,32.32,2.74,93.3,8.19,11.10,9.6,0000000
0001,2008/01/01 03:00:00,2,-0.87,12.05,1.5,32.33,2.66,93.3,8.19,11.10,9.6,0000000
0001,2008/01/01 03:00:00,3,-1.87,12.06,1.4,32.32,2.65,93.4,8.20,11.10,9.6,0000000
0001,2008/01/01 03:00:00,4,-2.87,12.06,1.5,32.32,2.61,93.5,8.21,11.10,9.6,0000000
0001,2008/01/01 03:00:00,5,-3.87,12.05,1.5,32.33,2.68,93.7,8.23,11.10,9.6,0000000
0001,2008/01/01 03:00:00,6,-4.87,12.06,1.6,32.33,2.71,93.9,8.25,11.10,9.6,0000000
0001,2008/01/01 03:00:00,7,-5.87,12.06,1.6,32.33,2.66,94.0,8.26,11.10,9.6,0000000
0001,2008/01/01 03:00:00,8,-6.87,12.06,1.6,32.33,2.60,94.2,8.27,11.10,9.6,0000000
0001,2008/01/01 03:00:00,9,-7.87,12.06,1.6,32.33,2.82,94.3,8.28,11.10,9.6,0000000
0001,2008/01/01 03:00:00,10,-8.87,12.06,1.6,32.33,2.79,94.3,8.28,11.10,9.6,0000000
0001,2008/01/01 03:00:00,11,-9.87,12.06,1.7,32.34,3.07,94.2,8.27,11.10,9.6,0000000
0001,2008/01/01 03:00:00,12,-9.97,12.05,1.6,32.34,3.42,93.9,8.25,11.10,9.6,0000000
0001,2008/01/01 04:00:00,0,0.53,12.03,1.5,32.35,2.06,93.9,8.25,11.00,9.6,0000000
0001,2008/01/01 04:00:00,1,0.03,12.04,1.6,32.35,2.05,93.8,8.24,11.00,9.6,0000000
0001,2008/01/01 04:00:00,2,-0.97,12.04,1.6,32.35,2.09,93.8,8.24,11.00,9.6,0000000
0001,2008/01/01 04:00:00,3,-1.97,12.04,1.6,32.35,2.09,94.0,8.26,11.00,9.6,0000000
0001,2008/01/01 04:00:00,4,-2.97,12.04,1.6,32.36,2.09,94.2,8.27,11.00,9.6,0000000
0001,2008/01/01 04:00:00,5,-3.97,12.03,1.6,32.36,1.89,94.4,8.29,11.00,9.6,0000000
