STATION,DATE & TIME,V-MAX(m/s),V-AVE(m/s),D-MAX(deg),D-AVE(deg),VOLT(V),STATUS
0001,2011/12/01 07:15:00,10.0,6.8,52,46,11.5,00
0001,2011/12/01 07:30:00,8.7,6.6,50,50,11.5,00
0001,2011/12/01 07:45:00,10.9,8.0,61,53,11.5,00
0001,2011/12/01 08:00:00,12.8,7.8,37,45,11.5,00
0001,2011/12/01 08:15:00,12.0,8.8,40,45,11.5,00
0001,2011/12/01 08:30:00,10.5,7.9,42,45,11.5,00
0001,2011/12/01 08:45:00,10.5,7.4,45,46,11.5,00
0001,2011/12/01 09:00:00,10.7,8.2,46,47,11.5,00
0001,2011/12/01 09:15:00,11.0,7.8,47,42,11.5,00
0001,2011/12/01 09:30:00,12.3,9.4,37,42,11.5,00
0001,2011/12/01 09:45:00,12.8,9.6,47,47,11.5,00
0001,2011/12/01 10:00:00,11.6,8.6,47,40,11.5,00
0001,2011/12/01 10:15:00,12.6,9.5,49,43,11.6,00
0001,2011/12/01 10:30:00,13.3,10.0,49,45,11.6,00
0001,2011/12/01 10:45:00,12.7,9.0,46,43,11.6,00
0001,2011/12/01 11:00:00,13.5,9.6,46,45,11.6,00
0001,2011/12/01 11:15:00,13.5,10.4,42,43,11.6,00
0001,2011/12/01 11:30:00,12.0,8.5,53,45,11.6,00
0001,2011/12/01 11:45:00,12.1,9.2,33,45,11.6,00
0001,2011/12/01 12:00:00,11.6,8.8,47,47,11.6,00
0001,2011/12/01 12:15:00,12.6,9.6,47,50,11.6,00
0001,2011/12/01 12:30:00,12.9,9.9,45,50,11.6,00
0001,2011/12/01 12:45:00,12.8,9.0,45,39,11.6,00
0001,2011/12/01 13:00:00,12.6,9.2,35,40,11.6,00
0001,2011/12/01 13:15:00,13.2,9.8,32,37,11.6,00
0001,2011/12/01 13:30:00,12.6,9.8,47,43,11.6,00
0001,2011/12/09 13:00:00,10.1,999.9,10,50,-54.3,00
0001,2011/12/12 14:00:00,1.8,0.8,279,295,11.6,00
0001,2011/12/12 14:15:00,2.5,1.9,279,279,11.6,00
0001,2011/12/12 14:30:00,2.5,2.0,279,279,11.6,00
0001,2011/12/12 14:45:00,2.5,2.0,277,275,11.6,00
0001,2011/12/12 15:00:00,2.4,1.8,274,274,11.6,00
0001,2011/12/12 15:15:00,2.1,1.4,275,278,11.6,00
0001,2011/12/12 15:30:00,2.1,1.6,268,270,11.6,00
0001,2011/12/12 15:45:00,2.6,1.8,255,258,11.5,00
0001,2011/12/12 16:00:00,3.2,2.4,234,236,11.5,00
0001,2011/12/12 16:15:00,3.6,2.6,237,237,11.5,00
0001,2011/12/12 16:30:00,3.2,2.6,230,234,11.5,00
0001,2011/12/12 16:45:00,3.1,2.4,232,236,11.5,00
0001,2011/12/12 17:00:00,3.3,2.6,229,233,11.5,00
0001,2011/12/12 17:15:00,3.1,2.6,237,236,11.5,00
0001,2011/12/12 17:30:00,5.0,4.4,234,230,11.5,00
0001,2011/12/12 17:45:00,5.4,4.4,225,230,11.5,00
0001,2011/12/12 18:00:00,5.8,5.0,230,230,11.5,00
0001,2011/12/12 18:15:00,6.1,5.0,233,232,11.5,00
0001,2011/12/12 18:30:00,5.8,5.0,236,236,11.5,00
0001,2011/12/12 18:45:00,5.6,4.6,239,239,11.5,00
0001,2011/12/12 19:00:00,5.5,4.6,237,239,11.5,00
0001,2011/12/12 19:15:00,5.5,4.6,237,239,11.5,00
0001,2011/12/12 19:30:00,5.5,4.2,241,237,11.5,00
0001,2011/12/12 19:45:00,4.7,3.6,239,239,11.5,00
0001,2011/12/12 20:00:00,4.4,3.4,234,230,11.5,00
0001,2011/12/12 20:15:00,4.0,1.8,227,209,11.5,00
0001,2011/12/12 20:30:00,3.1,1.6,208,202,11.5,00
0001,2011/12/12 20:45:00,2.0,0.8,175,168,11.5,00
0001,2011/12/12 21:00:00,1.9,0.2,189,164,11.5,00
0001,2011/12/12 21:15:00,1.8,0.0,175,161,11.5,00
0001,2011/12/12 21:30:00,0.0,0.0,0,165,11.5,00
0001,2011/12/12 21:45:00,2.1,0.0,109,165,11.5,00
0001,2011/12/12 22:00:00,2.4,0.0,99,150,11.5,00
0001,2011/12/12 22:15:00,2.5,1.2,85,94,11.5,00
0001,2011/12/12 22:30:00,3.5,2.0,54,56,11.5,00
0001,2011/12/12 22:45:00,5.9,4.3,9,7,11.5,00
0001,2011/12/12 23:00:00,6.1,4.8,5,2,11.5,00
0001,2011/12/12 23:15:00,7.1,5.6,25,7,11.5,00
0001,2011/12/12 23:30:00,6.4,4.8,23,16,11.5,00
0001,2011/12/12 23:45:00,5.2,3.6,9,5,11.5,00
0001,2011/12/13 00:00:00,4.1,2.8,7,358,11.5,00
0001,2011/12/13 00:15:00,5.1,3.8,11,0,11.5,00
0001,2011/12/13 00:30:00,5.9,4.8,12,12,11.5,00
0001,2011/12/13 00:45:00,5.4,3.8,9,14,11.5,00
0001,2011/12/13 01:00:00,4.3,3.2,28,16,11.5,00
0001,2011/12/13 01:15:00,3.9,3.0,357,358,11.5,00
0001,2011/12/13 01:30:00,5.1,4.2,0,355,11.5,00
0001,2011/12/13 01:45:00,5.2,4.0,7,354,11.5,00
0001,2011/12/13 02:00:00,4.9,3.6,355,352,11.5,00
0001,2011/12/13 02:15:00,4.6,3.8,357,357,11.5,00
0001,2011/12/13 02:30:00,4.0,3.0,5,12,11.5,00
0001,2011/12/13 02:45:00,3.5,2.8,32,30,11.5,00
0001,2011/12/13 03:00:00,5.0,3.6,2,16,11.5,00
0001,2011/12/13 03:15:00,6.8,5.6,348,344,11.5,00
0001,2011/12/13 03:30:00,7.0,6.0,348,348,11.5,00
0001,2011/12/13 03:45:00,7.3,5.4,21,23,11.5,00
0001,2011/12/13 04:00:00,8.2,6.2,33,37,11.5,00
0001,2011/12/13 04:15:00,7.3,5.2,33,35,11.5,00
0001,2011/12/13 04:30:00,7.3,5.2,26,30,11.5,00
0001,2011/12/13 04:45:00,6.8,5.2,16,37,11.5,00
0001,2011/12/13 05:00:00,7.5,5.8,42,46,11.5,00
0001,2011/12/13 05:15:00,8.9,6.4,50,42,11.5,00
0001,2011/12/13 05:30:00,9.8,7.0,45,40,11.5,00
0001,2011/12/13 05:45:00,9.4,6.8,33,37,11.5,00
0001,2011/12/13 06:00:00,9.1,7.2,36,28,11.5,00
0001,2011/12/13 06:15:00,9.9,7.5,39,33,11.5,00
0001,2011/12/13 06:30:00,9.3,7.6,37,30,11.5,00
0001,2011/12/13 06:45:00,9.1,7.2,25,35,11.5,00
0001,2011/12/13 07:00:00,8.7,6.6,46,35,11.5,00
0001,2011/12/13 07:15:00,8.6,6.0,19,35,11.5,00
0001,2011/12/13 07:30:00,7.1,5.8,32,35,11.5,00
0001,2011/12/13 07:45:00,6.9,5.3,33,33,11.5,00
0001,2011/12/13 08:00:00,7.3,5.6,46,42,11.5,00
0001,2011/12/13 08:15:00,7.9,6.2,42,40,11.5,00
0001,2011/12/13 08:30:00,7.3,6.0,33,39,11.5,00
0001,2011/12/13 08:45:00,6.9,5.4,36,43,11.5,00
0001,2011/12/13 09:00:00,7.8,6.0,46,50,11.5,00
0001,2011/12/13 10:00:00,6.5,5.0,52,50,11.6,00
0001,2011/12/13 10:15:00,6.8,4.8,50,47,11.6,00
0001,2011/12/13 10:30:00,7.1,5.0,4,37,11.6,00
0001,2011/12/13 10:45:00,7.8,5.8,19,16,11.6,00
