STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2005/11/01 00:00:00,0,0.03,18.97,2.1,30.98,0.52,77.3,5.96,10.50,9.6,0000000
0001,2005/11/01 00:00:00,1,-0.47,18.98,2.3,30.98,0.58,77.0,5.93,10.50,9.6,0000000
0001,2005/11/01 00:00:00,2,-1.47,18.99,2.2,30.98,0.51,76.2,5.87,10.50,9.6,0000000
0001,2005/11/01 00:00:00,3,-2.47,19.00,2.1,31.01,0.53,75.1,5.79,10.50,9.6,0000000
0001,2005/11/01 00:00:00,4,-3.47,19.03,2.1,31.04,0.54,73.9,5.69,10.50,9.6,0000000
0001,2005/11/01 00:00:00,5,-4.47,19.00,2.3,31.02,0.56,74.6,5.74,10.50,9.6,0000000
0001,2005/11/01 00:00:00,6,-5.47,19.18,2.5,31.09,0.66,69.5,5.33,10.50,9.6,0000000
0001,2005/11/01 00:00:00,7,-6.47,19.81,2.0,32.13,1.10,26.7,2.01,10.50,9.6,0000000
0001,2005/11/01 00:00:00,8,-7.47,20.10,1.7,32.76,2.23,9.5,0.71,10.50,9.6,0000000
0001,2005/11/01 00:00:00,9,-8.47,20.14,1.4,32.84,2.64,6.4,0.48,10.50,9.6,0000000
0001,2005/11/01 00:00:00,10,-9.47,20.16,0.7,33.03,4.15,2.2,0.17,10.50,9.6,0000000
0001,2005/11/01 00:00:00,11,-9.97,20.16,0.8,33.03,5.52,2.4,0.18,10.50,9.6,0000000
0001,2005/11/01 01:00:00,0,0.43,18.95,2.1,31.02,0.58,75.7,5.83,10.90,9.6,0000000
0001,2005/11/01 01:00:00,1,-0.07,18.94,2.0,31.01,0.54,75.4,5.81,10.90,9.6,0000000
0001,2005/11/01 01:00:00,2,-1.07,18.94,2.3,31.01,0.58,75.7,5.83,10.90,9.6,0000000
0001,2005/11/01 01:00:00,3,-2.07,18.93,2.2,31.01,0.54,75.5,5.82,10.90,9.6,0000000
0001,2005/11/01 01:00:00,4,-3.07,18.92,2.2,31.01,0.59,75.8,5.85,10.90,9.6,0000000
0001,2005/11/01 01:00:00,5,-4.07,18.94,2.2,31.03,0.61,74.9,5.77,10.90,9.6,0000000
0001,2005/11/01 01:00:00,6,-5.07,19.03,2.2,31.13,0.62,70.4,5.41,10.90,9.6,0000000
0001,2005/11/01 01:00:00,7,-6.07,19.85,2.3,32.18,1.30,27.7,2.09,10.90,9.6,0000000
0001,2005/11/01 01:00:00,8,-7.07,20.11,1.5,32.74,2.05,10.3,0.77,10.90,9.6,0000000
0001,2005/11/01 01:00:00,9,-8.07,20.14,1.3,32.89,2.64,5.7,0.42,10.90,9.6,0000000
0001,2005/11/01 01:00:00,10,-9.07,20.14,0.8,33.04,3.59,2.7,0.20,10.90,9.6,0000000
0001,2005/11/01 01:00:00,11,-9.97,20.14,0.8,33.04,5.88,2.5,0.18,10.90,9.6,0000000
0001,2005/11/01 02:00:00,0,0.83,18.87,2.0,31.01,0.53,75.9,5.86,11.30,9.6,0000000
0001,2005/11/01 02:00:00,1,0.33,18.90,2.0,31.01,0.56,75.2,5.80,11.30,9.6,0000000
0001,2005/11/01 02:00:00,2,-0.67,18.93,2.1,31.03,0.55,74.0,5.70,11.30,9.6,0000000
0001,2005/11/01 02:00:00,3,-1.67,18.93,2.2,31.03,0.57,74.4,5.74,11.30,9.6,0000000
0001,2005/11/01 02:00:00,4,-2.67,18.93,2.3,31.03,0.61,74.2,5.72,11.30,9.6,0000000
0001,2005/11/01 02:00:00,5,-3.67,18.93,2.1,31.04,0.63,74.3,5.73,11.30,9.6,0000000
0001,2005/11/01 02:00:00,6,-4.67,18.93,2.2,31.05,0.63,73.5,5.66,11.30,9.6,0000000
0001,2005/11/01 02:00:00,7,-5.67,19.74,2.3,32.05,1.09,34.3,2.59,11.30,9.6,0000000
0001,2005/11/01 02:00:00,8,-6.67,20.06,1.5,32.61,1.53,15.5,1.16,11.30,9.6,0000000
0001,2005/11/01 02:00:00,9,-7.67,20.11,1.5,32.74,1.90,11.0,0.82,11.30,9.6,0000000
0001,2005/11/01 02:00:00,10,-8.67,20.14,1.1,32.93,2.53,5.1,0.38,11.30,9.6,0000000
0001,2005/11/01 02:00:00,11,-9.67,20.13,0.9,33.04,3.70,3.3,0.25,11.30,9.6,0000000
0001,2005/11/01 02:00:00,12,-9.97,20.13,0.9,33.04,5.35,3.2,0.24,11.30,9.6,0000000
0001,2005/11/01 03:00:00,0,1.03,18.80,2.0,30.90,0.44,81.0,6.26,11.50,9.6,0000000
0001,2005/11/01 03:00:00,1,0.53,18.82,2.2,30.90,0.46,80.6,6.23,11.50,9.6,0000000
0001,2005/11/01 03:00:00,2,-0.47,18.82,2.2,30.91,0.48,80.5,6.22,11.50,9.6,0000000
0001,2005/11/01 03:00:00,3,-1.47,18.83,2.2,30.91,0.48,80.3,6.20,11.50,9.6,0000000
0001,2005/11/01 03:00:00,4,-2.47,18.82,2.2,30.92,0.52,80.2,6.20,11.50,9.6,0000000
0001,2005/11/01 03:00:00,5,-3.47,18.87,2.3,30.96,0.54,77.5,5.99,11.50,9.6,0000000
0001,2005/11/01 03:00:00,6,-4.47,19.18,2.2,31.40,0.69,62.0,4.75,11.50,9.6,0000000
0001,2005/11/01 03:00:00,7,-5.47,19.64,2.0,31.93,1.04,40.9,3.10,11.50,9.6,0000000
0001,2005/11/01 03:00:00,8,-6.47,20.05,1.4,32.53,1.33,18.3,1.37,11.50,9.6,0000000
0001,2005/11/01 03:00:00,9,-7.47,20.11,1.2,32.84,2.14,8.2,0.61,11.50,9.6,0000000
0001,2005/11/01 03:00:00,10,-8.47,20.12,1.1,32.96,2.32,5.8,0.43,11.50,9.6,0000000
0001,2005/11/01 03:00:00,11,-9.47,20.12,0.9,33.04,3.69,3.9,0.29,11.50,9.6,0000000
0001,2005/11/01 03:00:00,12,-9.97,20.12,0.9,33.03,4.96,4.0,0.30,11.50,9.6,0000000
0001,2005/11/01 04:00:00,0,1.23,18.75,2.1,30.88,0.41,81.2,6.29,11.70,9.6,0000000
0001,2005/11/01 04:00:00,1,0.73,18.77,2.2,30.87,0.43,81.2,6.28,11.70,9.6,0000000
0001,2005/11/01 04:00:00,2,-0.27,18.77,2.2,30.88,0.48,81.1,6.27,11.70,9.6,0000000
0001,2005/11/01 04:00:00,3,-1.27,18.78,2.3,30.88,0.45,80.7,6.24,11.70,9.6,0000000
0001,2005/11/01 04:00:00,4,-2.27,18.77,2.1,30.88,0.44,80.9,6.26,11.70,9.6,0000000
0001,2005/11/01 04:00:00,5,-3.27,18.82,2.3,30.93,0.46,78.5,6.06,11.70,9.6,0000000
0001,2005/11/01 04:00:00,6,-4.27,18.98,2.2,31.11,0.55,70.1,5.40,11.70,9.6,0000000
0001,2005/11/01 04:00:00,7,-5.27,19.50,2.1,31.76,0.88,46.0,3.49,11.70,9.6,0000000
0001,2005/11/01 04:00:00,8,-6.27,19.80,1.7,32.14,1.00,33.1,2.49,11.70,9.6,0000000
0001,2005/11/01 04:00:00,9,-7.27,20.09,1.3,32.80,1.93,9.3,0.69,11.70,9.6,0000000
0001,2005/11/01 04:00:00,10,-8.27,20.11,0.9,33.04,2.88,4.7,0.35,11.70,9.6,0000000
0001,2005/11/01 04:00:00,11,-9.27,20.11,0.9,33.04,3.56,4.5,0.34,11.70,9.6,0000000
0001,2005/11/01 04:00:00,12,-9.97,20.11,1.0,33.03,5.48,4.9,0.36,11.70,9.6,0000000
0001,2005/11/01 05:00:00,0,1.13,18.69,2.2,30.86,0.43,81.7,6.33,11.60,9.6,0000000
0001,2005/11/01 05:00:00,1,0.63,18.68,2.2,30.86,0.43,81.6,6.32,11.60,9.6,0000000
0001,2005/11/01 05:00:00,2,-0.37,18.69,2.2,30.87,0.43,81.2,6.29,11.60,9.6,0000000
0001,2005/11/01 05:00:00,3,-1.37,18.73,2.1,30.89,0.48,79.9,6.19,11.60,9.6,0000000
0001,2005/11/01 05:00:00,4,-2.37,18.72,2.2,30.88,0.47,80.2,6.21,11.60,9.6,0000000
0001,2005/11/01 05:00:00,5,-3.37,18.85,2.3,31.00,0.53,75.9,5.86,11.60,9.6,0000000
0001,2005/11/01 05:00:00,6,-4.37,19.15,2.1,31.34,0.61,63.5,4.87,11.60,9.6,0000000
0001,2005/11/01 05:00:00,7,-5.37,19.66,2.2,32.02,0.88,39.1,2.95,11.60,9.6,0000000
0001,2005/11/01 05:00:00,8,-6.37,19.95,1.5,32.36,1.07,24.2,1.82,11.60,9.6,0000000
0001,2005/11/01 05:00:00,9,-7.37,20.08,1.2,32.87,1.88,8.6,0.64,11.60,9.6,0000000
0001,2005/11/01 05:00:00,10,-8.37,20.10,0.9,33.03,2.60,5.0,0.37,11.60,9.6,0000000
0001,2005/11/01 05:00:00,11,-9.37,20.11,0.9,33.04,3.54,4.7,0.35,11.60,9.6,0000000
0001,2005/11/01 05:00:00,12,-9.97,20.11,0.9,33.03,5.24,4.7,0.35,11.60,9.6,0000000
0001,2005/11/01 06:00:00,0,1.13,18.71,2.3,30.98,0.51,77.5,6.00,11.60,9.6,0000000
0001,2005/11/01 06:00:00,1,0.63,18.71,2.3,30.97,0.51,77.6,6.01,11.60,9.6,0000000
0001,2005/11/01 06:00:00,2,-0.37,18.67,2.1,30.96,0.49,78.3,6.07,11.60,9.6,0000000
0001,2005/11/01 06:00:00,3,-1.37,18.65,2.0,30.95,0.46,79.1,6.13,11.60,9.6,0000000
0001,2005/11/01 06:00:00,4,-2.37,18.72,2.0,30.97,0.49,77.4,5.99,11.60,9.6,0000000
0001,2005/11/01 06:00:00,5,-3.37,18.78,2.1,31.01,0.51,76.3,5.90,11.60,9.6,0000000
0001,2005/11/01 06:00:00,6,-4.37,19.15,2.2,31.34,0.66,62.1,4.76,11.60,9.6,0000000
0001,2005/11/01 06:00:00,7,-5.37,19.83,1.7,32.33,1.20,27.1,2.04,11.60,9.6,0000000
0001,2005/11/01 06:00:00,8,-6.37,20.08,1.5,32.80,1.81,9.3,0.69,11.60,9.6,0000000
0001,2005/11/01 06:00:00,9,-7.37,20.09,1.1,32.97,2.02,6.6,0.49,11.60,9.6,0000000
0001,2005/11/01 06:00:00,10,-8.37,20.11,0.8,33.04,2.93,4.9,0.36,11.60,9.6,0000000
0001,2005/11/01 06:00:00,11,-9.37,20.11,0.8,33.04,3.56,4.9,0.36,11.60,9.6,0000000
0001,2005/11/01 06:00:00,12,-9.97,20.11,0.9,33.03,5.21,5.1,0.38,11.60,9.6,0000000
0001,2005/11/01 07:00:00,0,0.83,18.87,1.3,31.11,0.60,67.1,5.18,11.30,9.6,0000000
0001,2005/11/01 07:00:00,1,0.33,18.87,1.4,31.10,0.59,67.0,5.17,11.30,9.6,0000000
0001,2005/11/01 07:00:00,2,-0.67,18.89,1.4,31.11,0.61,66.3,5.11,11.30,9.6,0000000
0001,2005/11/01 07:00:00,3,-1.67,18.94,1.5,31.17,0.66,64.4,4.96,11.30,9.6,0000000
