STATION,DATE & TIME,V-MAX(m/s),V-AVE(m/s),D-MAX(deg),D-AVE(deg),VOLT(V),STATUS
0001,2010/05/01 00:00:00,7.6,5.4,60,59,11.5,00
0001,2010/05/01 00:15:00,4.7,2.6,68,63,11.5,00
0001,2010/05/01 00:30:00,2.5,1.3,59,49,11.5,00
0001,2010/05/01 00:45:00,4.6,3.1,12,12,11.5,00
0001,2010/05/01 01:00:00,3.9,2.6,0,23,11.5,00
0001,2010/05/01 01:15:00,2.5,1.6,30,19,11.5,00
0001,2010/05/01 01:30:00,1.2,0.0,1,0,11.5,00
0001,2010/05/01 01:45:00,1.0,0.0,338,340,11.5,00
0001,2010/05/01 02:00:00,1.6,0.0,29,345,11.5,00
0001,2010/05/01 02:15:00,2.0,0.2,67,80,11.5,00
0001,2010/05/01 02:30:00,2.5,1.6,18,29,11.5,00
0001,2010/05/01 02:45:00,2.0,0.8,45,25,11.5,00
0001,2010/05/01 03:00:00,2.4,1.6,25,7,11.5,00
0001,2010/05/01 03:15:00,3.5,2.2,19,22,11.5,00
0001,2010/05/01 03:30:00,3.2,2.2,33,18,11.5,00
0001,2010/05/01 03:45:00,2.5,1.8,354,355,11.5,00
0001,2010/05/01 04:00:00,3.0,2.0,1,358,11.5,00
0001,2010/05/01 04:15:00,3.1,2.2,7,15,11.5,00
0001,2010/05/01 04:30:00,2.8,1.8,15,25,11.5,00
0001,2010/05/01 04:45:00,2.4,1.6,25,35,11.5,00
0001,2010/05/01 05:00:00,2.4,1.8,33,29,11.5,00
0001,2010/05/01 05:15:00,2.3,1.6,26,35,11.5,00
0001,2010/05/01 05:30:00,2.0,1.6,57,66,11.5,00
0001,2010/05/01 05:45:00,2.6,1.8,22,43,11.5,00
0001,2010/05/01 06:00:00,2.5,1.2,22,50,11.5,00
0001,2010/05/01 06:15:00,1.9,0.6,57,53,11.5,00
0001,2010/05/01 06:30:00,2.0,1.2,1,5,11.5,00
0001,2010/05/01 06:45:00,2.3,1.2,2,2,11.5,00
0001,2010/05/01 07:00:00,2.0,1.2,2,11,11.5,00
0001,2010/05/01 07:15:00,1.2,0.0,26,28,11.5,00
0001,2010/05/01 07:30:00,1.5,0.6,302,320,11.5,00
0001,2010/05/01 07:45:00,2.3,1.4,302,307,11.5,00
0001,2010/05/01 08:00:00,3.3,2.6,320,316,11.5,00
0001,2010/05/01 08:15:00,3.2,2.2,315,298,11.5,00
0001,2010/05/01 08:30:00,3.3,2.6,295,298,11.5,00
0001,2010/05/01 08:45:00,3.1,2.4,289,284,11.5,00
0001,2010/05/01 09:00:00,3.1,2.4,279,286,11.5,00
0001,2010/05/01 09:15:00,2.8,2.0,278,275,11.5,00
0001,2010/05/01 09:30:00,2.4,1.8,278,275,11.5,00
0001,2010/05/01 09:45:00,2.1,1.8,272,274,11.5,00
0001,2010/05/01 10:00:00,2.3,1.8,275,275,11.5,00
0001,2010/05/01 10:15:00,2.3,1.9,275,278,11.5,00
